class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;3778;537;1222;44463;0.8756;0.7556;0.9881;0.8112;5000
automobile;4527;602;473;44398;0.8826;0.9054;0.9866;0.8939;5000
bird;3322;882;1678;44118;0.7902;0.6644;0.9804;0.7219;5000
cat;3278;2016;1722;42984;0.6192;0.6556;0.9552;0.6369;5000
deer;3576;849;1424;44151;0.8081;0.7152;0.9811;0.7588;5000
dog;3210;926;1790;44074;0.7761;0.642;0.9794;0.7027;5000
frog;4479;1464;521;43536;0.7537;0.8958;0.9675;0.8186;5000
horse;4285;1031;715;43969;0.8061;0.857;0.9771;0.8307;5000
ship;4649;1149;351;43851;0.8018;0.9298;0.9745;0.8611;5000
truck;4470;970;530;44030;0.8217;0.894;0.9784;0.8563;5000
;;;;;;;;;
SUMMARY;;;;;0.7935;0.7915;;0.7892;50000
